sample;annotation
квас жлетая бочка;[[0, 4, 'B-TYPE'], [5, 11, 'B-BRAND'], [12, 17, 'I-BRAND']]
квас иага;[[0, 4, 'B-TYPE'], [5, 9, 'B-BRAND']]
квас ниагарф;[[0, 4, 'B-TYPE'], [5, 12, 'B-BRAND']]
квас ацрские запасы;[[0, 4, 'B-TYPE'], [5, 12, 'B-BRAND'], [13, 19, 'I-BRAND']]
кезыкий;[[0, 7, 'B-BRAND']]
кеичупп;[[0, 7, 'B-BRAND']]
ккенза;[[0, 6, 'B-BRAND']]
кетчуп фстория томатный;[[0, 6, 'B-TYPE'], [7, 14, 'B-BRAND'], [15, 23, 'I-TYPE']]
кетчуп амхеев лечо;[[0, 6, 'B-TYPE'], [7, 13, 'B-BRAND'], [14, 18, 'I-TYPE']]
кеетчур;[[0, 7, 'B-BRAND']]
кефир sepmer;[[0, 5, 'B-TYPE'], [6, 12, 'B-BRAND']]
кефир болььшая кружка;[[0, 5, 'B-TYPE'], [6, 14, 'B-BRAND'], [15, 21, 'I-BRAND']]
киевски;[[0, 7, 'B-BRAND']]
им носк;[[0, 2, 'B-BRAND'], [3, 7, 'B-TYPE']]
им носков;[[0, 2, 'B-BRAND'], [3, 9, 'B-TYPE']]
кинддер;[[0, 7, 'B-BRAND']]
киндер мками кинг;[[0, 6, 'B-TYPE'], [7, 12, 'B-BRAND'], [13, 17, 'I-BRAND']]
кинддер молочный ломтик;[[0, 7, 'B-BRAND'], [8, 16, 'B-TYPE'], [17, 23, 'I-TYPE']]
киндерры;[[0, 8, 'B-BRAND']]
кито;[[0, 4, 'B-BRAND']]
кито еще;[[0, 4, 'B-BRAND'], [5, 8, 'O']]
кипирно;[[0, 7, 'B-BRAND']]
кирше;[[0, 5, 'B-BRAND']]
ккириеш;[[0, 7, 'B-BRAND']]
кисель фруттоня;[[0, 6, 'B-TYPE'], [7, 15, 'B-BRAND']]
кислводская;[[0, 11, 'B-BRAND']]
иктекет;[[0, 7, 'B-BRAND']]
иктекет в соусе;[[0, 7, 'B-BRAND'], [8, 9, 'O'], [10, 15, 'O']]
иктекэт;[[0, 7, 'B-BRAND']]
ккитикет;[[0, 8, 'B-BRAND']]
клевур петрушк;[[0, 6, 'B-BRAND'], [7, 14, 'B-TYPE']]
клевур петрушка;[[0, 6, 'B-BRAND'], [7, 15, 'B-TYPE']]
килар;[[0, 5, 'B-BRAND']]
клниские;[[0, 8, 'B-BRAND']]
клинскшй сардельк;[[0, 8, 'B-BRAND'], [9, 17, 'B-TYPE']]
клинскшй сардельки;[[0, 8, 'B-BRAND'], [9, 18, 'B-TYPE']]
клубника frescc;[[0, 8, 'B-TYPE'], [9, 15, 'B-BRAND']]
клюква вкуы&поль;[[0, 6, 'B-TYPE'], [7, 16, 'B-BRAND']]
клюква мраке;[[0, 6, 'B-TYPE'], [7, 12, 'B-BRAND']]
клюква аркет;[[0, 6, 'B-TYPE'], [7, 12, 'B-BRAND']]
кммк например;[[0, 4, 'B-BRAND'], [5, 13, 'O']]
книга феи;[[0, 5, 'B-TYPE'], [6, 9, 'B-BRAND']]
книга феншк;[[0, 5, 'B-TYPE'], [6, 11, 'B-BRAND']]
книга фениксс;[[0, 5, 'B-TYPE'], [6, 13, 'B-BRAND']]
книги ытреко;[[0, 5, 'B-TYPE'], [6, 12, 'B-BRAND']]
книги стрекозф;[[0, 5, 'B-TYPE'], [6, 14, 'B-BRAND']]
коока колла без;[[0, 5, 'B-BRAND'], [6, 11, 'I-BRAND'], [12, 15, 'O']]
коктейль молочный чуо;[[0, 8, 'B-TYPE'], [9, 17, 'I-TYPE'], [18, 21, 'B-BRAND']]
колла;[[0, 5, 'B-BRAND']]
колла без;[[0, 5, 'B-BRAND'], [6, 9, 'O']]
колбаса вязанка молкоуша;[[0, 7, 'B-TYPE'], [8, 15, 'I-TYPE'], [16, 24, 'B-BRAND']]
колбаса докторская вязанкка;[[0, 7, 'B-TYPE'], [8, 18, 'I-TYPE'], [19, 27, 'B-BRAND']]
колбаса нарезка рмеит;[[0, 7, 'B-TYPE'], [8, 15, 'I-TYPE'], [16, 21, 'B-BRAND']]
колбаса окраинф брауншвейгская;[[0, 7, 'B-TYPE'], [8, 15, 'B-BRAND'], [16, 30, 'I-BRAND']]
колбаса остакино ароматная;[[0, 7, 'B-TYPE'], [8, 16, 'B-BRAND'], [17, 26, 'I-TYPE']]
колбаса рмеит докторская;[[0, 7, 'B-TYPE'], [8, 13, 'B-BRAND'], [14, 24, 'I-TYPE']]
колбаса ск коньячная;[[0, 7, 'B-TYPE'], [8, 10, 'B-BRAND'], [11, 20, 'I-BRAND']]
колбаса финнский серви;[[0, 7, 'B-TYPE'], [8, 16, 'B-BRAND'], [17, 22, 'I-BRAND']]
колбаса елны-мя;[[0, 7, 'B-TYPE'], [8, 15, 'B-BRAND']]
колбаса челны-ммяс;[[0, 7, 'B-TYPE'], [8, 18, 'B-BRAND']]
колбаса челын-мясо;[[0, 7, 'B-TYPE'], [8, 18, 'B-BRAND']]
колбаса черккизово астория;[[0, 7, 'B-TYPE'], [8, 18, 'B-BRAND'], [19, 26, 'I-BRAND']]
колбаски cherkiz;[[0, 8, 'B-TYPE'], [9, 16, 'B-BRAND']]
колбаски cherkizoov;[[0, 8, 'B-TYPE'], [9, 19, 'B-BRAND']]
колбаски еле;[[0, 8, 'B-TYPE'], [9, 12, 'B-BRAND']]
колбаски окри;[[0, 8, 'B-TYPE'], [9, 13, 'B-BRAND']]
колбаски ыки;[[0, 8, 'B-TYPE'], [9, 12, 'B-BRAND']]
колбасок окраиин;[[0, 8, 'B-TYPE'], [9, 16, 'B-BRAND']]
колгот. diwaar;[[0, 7, 'B-TYPE'], [8, 14, 'B-BRAND']]
колгот. gabrie;[[0, 7, 'B-TYPE'], [8, 14, 'B-BRAND']]
колгот. incaant;[[0, 7, 'B-TYPE'], [8, 15, 'B-BRAND']]
колгот. icanto;[[0, 7, 'B-TYPE'], [8, 14, 'B-BRAND']]
колгот. oopi;[[0, 7, 'B-TYPE'], [8, 12, 'B-BRAND']]
колгот. opum;[[0, 7, 'B-TYPE'], [8, 12, 'B-BRAND']]
колгот. помпу;[[0, 7, 'B-TYPE'], [8, 13, 'B-BRAND']]
колгот. поьпея;[[0, 7, 'B-TYPE'], [8, 14, 'B-BRAND']]
колготки at;[[0, 8, 'B-TYPE'], [9, 11, 'B-BRAND']]
коечки на крылечке;[[0, 6, 'B-BRAND'], [7, 9, 'I-BRAND'], [10, 18, 'I-BRAND']]
коолибри;[[0, 8, 'B-BRAND']]
коолибри если;[[0, 8, 'B-BRAND'], [9, 13, 'O']]
кооллекция наволоч;[[0, 10, 'B-BRAND'], [11, 18, 'B-TYPE']]
коломенски кто-нибудь;[[0, 10, 'B-BRAND'], [11, 21, 'O']]
коломмчаночка пасти;[[0, 13, 'B-BRAND'], [14, 19, 'B-TYPE']]
коолу;[[0, 5, 'B-BRAND']]
комамер;[[0, 7, 'B-BRAND']]
кмоацо май;[[0, 6, 'B-BRAND'], [7, 10, 'B-TYPE']]
компот аггу;[[0, 6, 'B-TYPE'], [7, 11, 'B-BRAND']]
компот фгуш;[[0, 6, 'B-TYPE'], [7, 11, 'B-BRAND']]
компот фруттоня;[[0, 6, 'B-TYPE'], [7, 15, 'B-BRAND']]
компоты агрокомлпе;[[0, 7, 'B-TYPE'], [8, 18, 'B-BRAND']]
компоты агрокомпелк;[[0, 7, 'B-TYPE'], [8, 19, 'B-BRAND']]
компоты ве;[[0, 7, 'B-TYPE'], [8, 10, 'B-BRAND']]
компоты вре;[[0, 7, 'B-TYPE'], [8, 11, 'B-BRAND']]
компоты еврес;[[0, 7, 'B-TYPE'], [8, 13, 'B-BRAND']]
компоты чд;[[0, 7, 'B-TYPE'], [8, 10, 'B-BRAND']]
кому-нибудь heetos;[[0, 11, 'O'], [12, 18, 'B-BRAND']]
кому-нибудь comazzo;[[0, 11, 'O'], [12, 19, 'B-BRAND']]
кому-нибудь lett;[[0, 11, 'O'], [12, 16, 'B-BRAND']]
кому-нибудь савф;[[0, 11, 'O'], [12, 16, 'B-BRAND']]
комфокт подушк;[[0, 7, 'B-BRAND'], [8, 14, 'B-TYPE']]
комфокт подушки;[[0, 7, 'B-BRAND'], [8, 15, 'B-TYPE']]
конвертик ьастер пирогов;[[0, 9, 'B-TYPE'], [10, 16, 'B-BRAND'], [17, 24, 'I-BRAND']]
кони;[[0, 4, 'B-BRAND']]
конструктора arbi;[[0, 12, 'B-TYPE'], [13, 17, 'B-BRAND']]
конструктором dickk;[[0, 13, 'B-TYPE'], [14, 19, 'B-BRAND']]
конструктором diicki;[[0, 13, 'B-TYPE'], [14, 20, 'B-BRAND']]
контти;[[0, 6, 'B-BRAND']]
конфет mrlet;[[0, 6, 'B-TYPE'], [7, 12, 'B-BRAND']]
конфет merlet;[[0, 6, 'B-TYPE'], [7, 13, 'B-BRAND']]
конфеты каконд птица;[[0, 7, 'B-TYPE'], [8, 14, 'B-BRAND'], [15, 20, 'I-BRAND']]
конфеты блн пари;[[0, 7, 'B-TYPE'], [8, 11, 'B-BRAND'], [12, 16, 'I-BRAND']]
конфеты боа бора;[[0, 7, 'B-TYPE'], [8, 11, 'B-BRAND'], [12, 16, 'I-BRAND']]
конфеты зллотая дилия;[[0, 7, 'B-TYPE'], [8, 15, 'B-BRAND'], [16, 21, 'I-BRAND']]
конфеты коровкаа;[[0, 7, 'B-TYPE'], [8, 16, 'B-BRAND']]
конфеты очет кочеток;[[0, 7, 'B-TYPE'], [8, 12, 'B-BRAND'], [13, 20, 'I-BRAND']]
конфеты ппобеда вкуса;[[0, 7, 'B-TYPE'], [8, 15, 'B-BRAND'], [16, 21, 'I-BRAND']]
конфеты кайское облака;[[0, 7, 'B-TYPE'], [8, 15, 'B-BRAND'], [16, 22, 'I-BRAND']]
конфеты солнечняа долька;[[0, 7, 'B-TYPE'], [8, 17, 'B-BRAND'], [18, 24, 'I-BRAND']]
конфеты солнечняа пчелка;[[0, 7, 'B-TYPE'], [8, 17, 'B-BRAND'], [18, 24, 'I-BRAND']]
конфеты трри кота;[[0, 7, 'B-TYPE'], [8, 12, 'B-BRAND'], [13, 17, 'I-BRAND']]
конфеты феерро роше;[[0, 7, 'B-TYPE'], [8, 14, 'B-BRAND'], [15, 19, 'I-BRAND']]
конфеты ччерная ночь;[[0, 7, 'B-TYPE'], [8, 15, 'B-BRAND'], [16, 20, 'I-BRAND']]
конифл тор;[[0, 6, 'B-BRAND'], [7, 10, 'B-TYPE']]
конифл торты;[[0, 6, 'B-BRAND'], [7, 12, 'B-TYPE']]
коныеьы роь фронт;[[0, 7, 'B-TYPE'], [8, 11, 'B-BRAND'], [12, 17, 'I-BRAND']]
коньяк оытр;[[0, 6, 'B-TYPE'], [7, 11, 'B-BRAND']]
коньяк острров;[[0, 6, 'B-TYPE'], [7, 14, 'B-BRAND']]
коньяка garrli;[[0, 7, 'B-TYPE'], [8, 14, 'B-BRAND']]
коньяка garln;[[0, 7, 'B-TYPE'], [8, 13, 'B-BRAND']]
коньяка абррау-дюр;[[0, 7, 'B-TYPE'], [8, 18, 'B-BRAND']]
коньяка абрауд-юрс;[[0, 7, 'B-TYPE'], [8, 18, 'B-BRAND']]
корейса;[[0, 7, 'B-BRAND']]
коржи аалдушк;[[0, 5, 'B-TYPE'], [6, 13, 'B-BRAND']]
коржи грум;[[0, 5, 'B-TYPE'], [6, 10, 'B-BRAND']]
коржи гуран;[[0, 5, 'B-TYPE'], [6, 11, 'B-BRAND']]
коржи сфмотл;[[0, 5, 'B-TYPE'], [6, 12, 'B-BRAND']]
коржи смотло;[[0, 5, 'B-TYPE'], [6, 12, 'B-BRAND']]
коржи амотлор;[[0, 5, 'B-TYPE'], [6, 13, 'B-BRAND']]
корзиночек крисьа;[[0, 10, 'B-TYPE'], [11, 17, 'B-BRAND']]
корзиночек крстал;[[0, 10, 'B-TYPE'], [11, 17, 'B-BRAND']]
корзиночек сен;[[0, 10, 'B-TYPE'], [11, 14, 'B-BRAND']]
корзиночек сурну;[[0, 10, 'B-TYPE'], [11, 16, 'B-BRAND']]
корзиночек срнур;[[0, 10, 'B-TYPE'], [11, 16, 'B-BRAND']]
корзиночка коолибр;[[0, 10, 'B-TYPE'], [11, 18, 'B-BRAND']]
корзиночка сен;[[0, 10, 'B-TYPE'], [11, 14, 'B-BRAND']]
корзиночка сурну;[[0, 10, 'B-TYPE'], [11, 16, 'B-BRAND']]
корзиночка чеермуш;[[0, 10, 'B-TYPE'], [11, 18, 'B-BRAND']]
корзиночка чуремушк;[[0, 10, 'B-TYPE'], [11, 19, 'B-BRAND']]
корзиночка череумшки;[[0, 10, 'B-TYPE'], [11, 20, 'B-BRAND']]
корзиночки крисьа;[[0, 10, 'B-TYPE'], [11, 17, 'B-BRAND']]
корзиночки криыталл;[[0, 10, 'B-TYPE'], [11, 19, 'B-BRAND']]
кориандр kkam;[[0, 8, 'B-TYPE'], [9, 13, 'B-BRAND']]
кориандр kaim;[[0, 8, 'B-TYPE'], [9, 13, 'B-BRAND']]
корица ccykori;[[0, 6, 'B-TYPE'], [7, 14, 'B-BRAND']]
корица rd.bake;[[0, 6, 'B-TYPE'], [7, 14, 'B-BRAND']]
корица тиис;[[0, 6, 'B-TYPE'], [7, 11, 'B-BRAND']]
корм висскас рагу;[[0, 4, 'B-TYPE'], [5, 12, 'B-BRAND'], [13, 17, 'I-TYPE']]
корм влажный whisksa;[[0, 4, 'B-TYPE'], [5, 12, 'I-TYPE'], [13, 20, 'B-BRAND']]
корм влажный фееликс;[[0, 4, 'B-TYPE'], [5, 12, 'I-TYPE'], [13, 20, 'B-BRAND']]
корм влажный шееба;[[0, 4, 'B-TYPE'], [5, 12, 'I-TYPE'], [13, 18, 'B-BRAND']]
корм кошачий миратогр;[[0, 4, 'B-TYPE'], [5, 12, 'I-TYPE'], [13, 21, 'B-BRAND']]
корм кошачий сухой prefect fit;[[0, 4, 'B-TYPE'], [5, 12, 'I-TYPE'], [13, 18, 'I-TYPE'], [19, 26, 'B-BRAND'], [27, 30, 'I-BRAND']]
корм кошачий фееликс;[[0, 4, 'B-TYPE'], [5, 12, 'I-TYPE'], [13, 20, 'B-BRAND']]
корм с catterra;[[0, 4, 'B-TYPE'], [5, 6, 'O'], [7, 15, 'B-BRAND']]
корм сухой chapp;[[0, 4, 'B-TYPE'], [5, 10, 'I-TYPE'], [11, 16, 'B-BRAND']]
корнрс;[[0, 6, 'B-BRAND']]
коррнерсы;[[0, 9, 'B-BRAND']]
коробка loumm;[[0, 7, 'B-TYPE'], [8, 13, 'B-BRAND']]
коробка веккт;[[0, 7, 'B-TYPE'], [8, 13, 'B-BRAND']]
коробка евкто;[[0, 7, 'B-TYPE'], [8, 13, 'B-BRAND']]
коробка вуктор;[[0, 7, 'B-TYPE'], [8, 14, 'B-BRAND']]
коробок loumm;[[0, 7, 'B-TYPE'], [8, 13, 'B-BRAND']]
коробок poine;[[0, 7, 'B-TYPE'], [8, 13, 'B-BRAND']]
коробок pioner;[[0, 7, 'B-TYPE'], [8, 14, 'B-BRAND']]
коровион варенн;[[0, 8, 'B-BRAND'], [9, 15, 'B-TYPE']]
корлна;[[0, 6, 'B-BRAND']]
косметички rpima;[[0, 10, 'B-TYPE'], [11, 16, 'B-BRAND']]
косметички priimani;[[0, 10, 'B-TYPE'], [11, 19, 'B-BRAND']]
оксмос удлините;[[0, 6, 'B-BRAND'], [7, 15, 'B-TYPE']]
оксмос удлинитель;[[0, 6, 'B-BRAND'], [7, 17, 'B-TYPE']]
костромсеой;[[0, 11, 'B-BRAND']]
котлеты слов мясника;[[0, 7, 'B-TYPE'], [8, 12, 'B-BRAND'], [13, 20, 'I-BRAND']]
котмркот оладьи;[[0, 8, 'B-BRAND'], [9, 15, 'B-TYPE']]
коулл;[[0, 5, 'B-BRAND']]
кофе crte noire;[[0, 4, 'B-TYPE'], [5, 9, 'B-BRAND'], [10, 15, 'I-BRAND']]
кофе jao;[[0, 4, 'B-TYPE'], [5, 8, 'B-BRAND']]
кофе jacbo;[[0, 4, 'B-TYPE'], [5, 10, 'B-BRAND']]
кофе mid fresco;[[0, 4, 'B-TYPE'], [5, 8, 'B-BRAND'], [9, 15, 'I-BRAND']]
кофе monarhc растворимый;[[0, 4, 'B-TYPE'], [5, 12, 'B-BRAND'], [13, 24, 'I-TYPE']]
кофе жкей;[[0, 4, 'B-TYPE'], [5, 9, 'B-BRAND']]
кофе монфрх;[[0, 4, 'B-TYPE'], [5, 11, 'B-BRAND']]
кофе монфрх растворимый;[[0, 4, 'B-TYPE'], [5, 11, 'B-BRAND'], [12, 23, 'I-TYPE']]
кофе ннескафе;[[0, 4, 'B-TYPE'], [5, 13, 'B-BRAND']]
кофе растворимый якобсс;[[0, 4, 'B-TYPE'], [5, 16, 'I-TYPE'], [17, 23, 'B-BRAND']]
кофе якобсс;[[0, 4, 'B-TYPE'], [5, 11, 'B-BRAND']]
кофеварка brau;[[0, 9, 'B-TYPE'], [10, 14, 'B-BRAND']]
кофейник bood;[[0, 8, 'B-TYPE'], [9, 13, 'B-BRAND']]
кофейник bdoum;[[0, 8, 'B-TYPE'], [9, 14, 'B-BRAND']]
кофейник ttall;[[0, 8, 'B-TYPE'], [9, 14, 'B-BRAND']]
кофейник tlle;[[0, 8, 'B-TYPE'], [9, 13, 'B-BRAND']]
кофейник th;[[0, 8, 'B-TYPE'], [9, 11, 'B-BRAND']]
кофейник viites;[[0, 8, 'B-TYPE'], [9, 15, 'B-BRAND']]
кофейник vitese;[[0, 8, 'B-TYPE'], [9, 15, 'B-BRAND']]
кофейник мфе;[[0, 8, 'B-TYPE'], [9, 12, 'B-BRAND']]
кофеты чи рио;[[0, 6, 'B-TYPE'], [7, 9, 'B-BRAND'], [10, 13, 'I-BRAND']]
крабовые уское море;[[0, 8, 'B-TYPE'], [9, 14, 'B-BRAND'], [15, 19, 'I-BRAND']]
ркай каравай;[[0, 4, 'B-BRAND'], [5, 12, 'I-BRAND']]
краска easo;[[0, 6, 'B-TYPE'], [7, 11, 'B-BRAND']]
краска seasn;[[0, 6, 'B-TYPE'], [7, 12, 'B-BRAND']]
краска палеттт мокко;[[0, 6, 'B-TYPE'], [7, 14, 'B-BRAND'], [15, 20, 'I-BRAND']]
краски союзьультфил;[[0, 6, 'B-TYPE'], [7, 19, 'B-BRAND']]
краски союзмультфль;[[0, 6, 'B-TYPE'], [7, 19, 'B-BRAND']]
краски слюзмультфильм;[[0, 6, 'B-TYPE'], [7, 21, 'B-BRAND']]
ркаснобор пельмеш;[[0, 9, 'B-BRAND'], [10, 17, 'B-TYPE']]
ркаснобор пельмешк;[[0, 9, 'B-BRAND'], [10, 18, 'B-TYPE']]
красное bbosc;[[0, 7, 'B-TYPE'], [8, 13, 'B-BRAND']]
красное miak;[[0, 7, 'B-TYPE'], [8, 12, 'B-BRAND']]
красное imkad;[[0, 7, 'B-TYPE'], [8, 13, 'B-BRAND']]
красное россиск;[[0, 7, 'B-TYPE'], [8, 15, 'B-BRAND']]
красное россйиски;[[0, 7, 'B-TYPE'], [8, 17, 'B-BRAND']]
красное российскиий;[[0, 7, 'B-TYPE'], [8, 19, 'B-BRAND']]
красноусольсая;[[0, 14, 'B-BRAND']]
красый ключ;[[0, 6, 'B-BRAND'], [7, 11, 'I-BRAND']]
красый октябрь;[[0, 6, 'B-BRAND'], [7, 14, 'I-BRAND']]
красок allbio;[[0, 6, 'B-TYPE'], [7, 13, 'B-BRAND']]
красок brabue;[[0, 6, 'B-TYPE'], [7, 13, 'B-BRAND']]
красок brabuerg;[[0, 6, 'B-TYPE'], [7, 15, 'B-BRAND']]
красок univeersal;[[0, 6, 'B-TYPE'], [7, 17, 'B-BRAND']]
крекер baau;[[0, 6, 'B-TYPE'], [7, 11, 'B-BRAND']]
крекер loer;[[0, 6, 'B-TYPE'], [7, 11, 'B-BRAND']]
крекер lloren;[[0, 6, 'B-TYPE'], [7, 13, 'B-BRAND']]
крекер lsadoy;[[0, 6, 'B-TYPE'], [7, 13, 'B-BRAND']]
крекер sldoyar;[[0, 6, 'B-TYPE'], [7, 14, 'B-BRAND']]
крекер зрни;[[0, 6, 'B-TYPE'], [7, 11, 'B-BRAND']]
крекер зернииц;[[0, 6, 'B-TYPE'], [7, 14, 'B-BRAND']]
крекер езрница;[[0, 6, 'B-TYPE'], [7, 14, 'B-BRAND']]
крекеры is;[[0, 7, 'B-TYPE'], [8, 10, 'B-BRAND']]
крекеры bsc;[[0, 7, 'B-TYPE'], [8, 11, 'B-BRAND']]
крекеры bsica;[[0, 7, 'B-TYPE'], [8, 13, 'B-BRAND']]
крекеры баул;[[0, 7, 'B-TYPE'], [8, 12, 'B-BRAND']]
крем jn;[[0, 4, 'B-TYPE'], [5, 7, 'B-BRAND']]
крем laii;[[0, 4, 'B-TYPE'], [5, 9, 'B-BRAND']]
крем зодуш;[[0, 4, 'B-TYPE'], [5, 10, 'B-BRAND']]
крем золуше;[[0, 4, 'B-TYPE'], [5, 11, 'B-BRAND']]
крем-мыло caa;[[0, 9, 'B-TYPE'], [10, 13, 'B-BRAND']]
крем-мыло acmay;[[0, 9, 'B-TYPE'], [10, 15, 'B-BRAND']]
крем-мыло doov;[[0, 9, 'B-TYPE'], [10, 14, 'B-BRAND']]
крем-мыло dovve;[[0, 9, 'B-TYPE'], [10, 15, 'B-BRAND']]
крем-мыло iv;[[0, 9, 'B-TYPE'], [10, 12, 'B-BRAND']]
кремекульское;[[0, 13, 'B-BRAND']]
кремлевсккая;[[0, 12, 'B-BRAND']]
кремом ano;[[0, 6, 'B-TYPE'], [7, 10, 'B-BRAND']]
кремом dann;[[0, 6, 'B-TYPE'], [7, 11, 'B-BRAND']]
крониодв;[[0, 8, 'B-BRAND']]
круассан лмиа;[[0, 8, 'B-TYPE'], [9, 13, 'B-BRAND']]
круассан лиак;[[0, 8, 'B-TYPE'], [9, 13, 'B-BRAND']]
круассаны ре-жхл;[[0, 9, 'B-TYPE'], [10, 16, 'B-BRAND']]
круассаны ре-жхле;[[0, 9, 'B-TYPE'], [10, 17, 'B-BRAND']]
круассаны рееж-хлеб;[[0, 9, 'B-TYPE'], [10, 19, 'B-BRAND']]
кружек кубаньфаф;[[0, 6, 'B-TYPE'], [7, 16, 'B-BRAND']]
кружек кубаьнфарфор;[[0, 6, 'B-TYPE'], [7, 19, 'B-BRAND']]
кружек ффакелм;[[0, 6, 'B-TYPE'], [7, 14, 'B-BRAND']]
кружек факелм;[[0, 6, 'B-TYPE'], [7, 13, 'B-BRAND']]
крымыкое;[[0, 8, 'B-BRAND']]
крышек beergho;[[0, 6, 'B-TYPE'], [7, 14, 'B-BRAND']]
крышек bergho;[[0, 6, 'B-TYPE'], [7, 13, 'B-BRAND']]
крышек erghoff;[[0, 6, 'B-TYPE'], [7, 14, 'B-BRAND']]
крышка eecon;[[0, 6, 'B-TYPE'], [7, 12, 'B-BRAND']]
крышка mdaer;[[0, 6, 'B-TYPE'], [7, 12, 'B-BRAND']]
крышка madrn;[[0, 6, 'B-TYPE'], [7, 12, 'B-BRAND']]
крышка madreno;[[0, 6, 'B-TYPE'], [7, 14, 'B-BRAND']]
крышка malon;[[0, 6, 'B-TYPE'], [7, 12, 'B-BRAND']]
крышки prima;[[0, 6, 'B-TYPE'], [7, 12, 'B-BRAND']]
крышки скко;[[0, 6, 'B-TYPE'], [7, 11, 'B-BRAND']]
крышки склв;[[0, 6, 'B-TYPE'], [7, 11, 'B-BRAND']]
кто-нибудь cleaelly;[[0, 10, 'O'], [11, 19, 'B-BRAND']]
кто-нибудь lapll;[[0, 10, 'O'], [11, 16, 'B-BRAND']]
кто-нибудь вельмотн;[[0, 10, 'O'], [11, 19, 'B-BRAND']]
кто-нибудь лакомкка;[[0, 10, 'O'], [11, 19, 'B-BRAND']]
куик;[[0, 4, 'B-BRAND']]
еукис;[[0, 5, 'B-BRAND']]
кукуруза geenol;[[0, 8, 'B-TYPE'], [9, 15, 'B-BRAND']]
кукуруза рлмашки;[[0, 8, 'B-TYPE'], [9, 16, 'B-BRAND']]
кукурузки фута няня;[[0, 9, 'B-TYPE'], [10, 14, 'B-BRAND'], [15, 19, 'I-BRAND']]
куумин;[[0, 6, 'B-BRAND']]
купаты craayo;[[0, 6, 'B-TYPE'], [7, 13, 'B-BRAND']]
купаты caryola;[[0, 6, 'B-TYPE'], [7, 14, 'B-BRAND']]
купаты ппавловская курочка;[[0, 6, 'B-TYPE'], [7, 18, 'B-BRAND'], [19, 26, 'I-BRAND']]
купаты черкизовв;[[0, 6, 'B-TYPE'], [7, 16, 'B-BRAND']]
купаты черккизово;[[0, 6, 'B-TYPE'], [7, 17, 'B-BRAND']]
курица приооскол;[[0, 6, 'B-TYPE'], [7, 16, 'B-BRAND']]
курица приосколе;[[0, 6, 'B-TYPE'], [7, 16, 'B-BRAND']]
курицы миратро;[[0, 6, 'B-TYPE'], [7, 14, 'B-BRAND']]
курскхдеб рогалик;[[0, 9, 'B-BRAND'], [10, 17, 'B-TYPE']]
курскхдеб рогалики;[[0, 9, 'B-BRAND'], [10, 18, 'B-TYPE']]
куртяевскаая;[[0, 12, 'B-BRAND']]
кусковой mat;[[0, 8, 'B-TYPE'], [9, 12, 'B-BRAND']]
кусковой aitr;[[0, 8, 'B-TYPE'], [9, 13, 'B-BRAND']]
кусковой matre;[[0, 8, 'B-TYPE'], [9, 14, 'B-BRAND']]
кусковой мисра;[[0, 8, 'B-TYPE'], [9, 14, 'B-BRAND']]
кусковой мистрал;[[0, 8, 'B-TYPE'], [9, 16, 'B-BRAND']]
укхмастер;[[0, 9, 'B-BRAND']]
кььянти если;[[0, 7, 'B-BRAND'], [8, 12, 'O']]
кэнннон труcы;[[0, 7, 'B-BRAND'], [8, 13, 'B-TYPE']]
лааващ;[[0, 6, 'B-BRAND']]
лаврро;[[0, 6, 'B-BRAND']]
лаадога верму;[[0, 7, 'B-BRAND'], [8, 13, 'B-TYPE']]
лак для волос тфат;[[0, 3, 'B-TYPE'], [4, 7, 'O'], [8, 13, 'O'], [14, 18, 'B-BRAND']]
лакмо;[[0, 5, 'B-BRAND']]
лакомкка;[[0, 8, 'B-BRAND']]
ламбур;[[0, 6, 'B-BRAND']]
лаанселот;[[0, 9, 'B-BRAND']]
лфпландия;[[0, 9, 'B-BRAND']]
лапша карават сарай;[[0, 5, 'B-TYPE'], [6, 13, 'B-BRAND'], [14, 19, 'I-BRAND']]
лапша рлтон яичная;[[0, 5, 'B-TYPE'], [6, 11, 'B-BRAND'], [12, 18, 'I-TYPE']]
ларсе табак;[[0, 5, 'B-BRAND'], [6, 11, 'B-TYPE']]
лсточка;[[0, 7, 'B-BRAND']]
латлна;[[0, 6, 'B-BRAND']]
латтт;[[0, 5, 'B-BRAND']]
левшка;[[0, 6, 'B-BRAND']]
дего;[[0, 4, 'B-BRAND']]
лееовит;[[0, 7, 'B-BRAND']]
лепешки краав;[[0, 7, 'B-TYPE'], [8, 13, 'B-BRAND']]
лечо ec;[[0, 4, 'B-TYPE'], [5, 7, 'B-BRAND']]
лечо iber;[[0, 4, 'B-TYPE'], [5, 9, 'B-BRAND']]
лечо iberric;[[0, 4, 'B-TYPE'], [5, 12, 'B-BRAND']]
лечо оогродник;[[0, 4, 'B-TYPE'], [5, 14, 'B-BRAND']]
лечо огородниео;[[0, 4, 'B-TYPE'], [5, 15, 'B-BRAND']]
лечо огородниокв;[[0, 4, 'B-TYPE'], [5, 16, 'B-BRAND']]
илбрес;[[0, 6, 'B-BRAND']]
либреыс;[[0, 7, 'B-BRAND']]
ливенра;[[0, 7, 'B-BRAND']]
ливерные ск;[[0, 8, 'B-TYPE'], [9, 11, 'B-BRAND']]
